x_max,alpha,avg clicks (opt),avg cost (opt),clicks/$ (opt),avg n kws (opt),avg clicks (act),avg cost (act),clicks/$ (act),avg n kws (act),improvement in clicks,improvement in clicks/$
,0.0,248.72605819702147,511.62715318938206,0.4861471027221926,33.9,225.837744140625,362.63100000000003,0.6227756152690337,35.1,0.10134848868373542,-0.21938641975861364
,0.25,245.18982162475587,511.5594750518802,0.47929875915188497,34.6,225.837744140625,362.63100000000003,0.6227756152690337,35.1,0.08569018238191697,-0.23038290613733803
,0.5,245.5434913635254,511.69753392848213,0.4798606111669164,35.3,225.837744140625,362.63100000000003,0.6227756152690337,35.1,0.08725621705922629,-0.22948073206170608
,0.75,245.5528251647949,511.5270504460477,0.48003878768615404,34.4,225.837744140625,362.63100000000003,0.6227756152690337,35.1,0.0872975467373323,-0.22919463139419574
,1.0,245.58625564575195,511.65193102310116,0.47998696135999475,34.6,225.837744140625,362.63100000000003,0.6227756152690337,35.1,0.08744557549613986,-0.22927784969126558
10.0,0.0,197.33670654296876,511.74118088307216,0.38561818730796704,130.7,225.837744140625,362.63100000000003,0.6227756152690337,35.1,-0.12620139165005642,-0.38080718343253805
10.0,0.25,194.9974479675293,511.6810325433324,0.3810918043967473,132.7,225.837744140625,362.63100000000003,0.6227756152690337,35.1,-0.13655952989812023,-0.3880752632998983
10.0,0.5,195.38008041381835,511.6658454056891,0.38185093292460354,132.5,225.837744140625,362.63100000000003,0.6227756152690337,35.1,-0.13486524957423074,-0.38685631941506377
10.0,0.75,194.3218963623047,511.65338695402625,0.3797920649350947,132.2,225.837744140625,362.63100000000003,0.6227756152690337,35.1,-0.13955084389567746,-0.3901622741426255
10.0,1.0,195.0649673461914,511.6775950514783,0.38122632148192165,132.4,225.837744140625,362.63100000000003,0.6227756152690337,35.1,-0.1362605569389321,-0.38785926723024444
20.0,0.0,251.58179168701173,511.64787635809705,0.4917088554686626,89.6,225.837744140625,362.63100000000003,0.6227756152690337,35.1,0.11399355605658361,-0.2104558312607525
20.0,0.25,249.0889877319336,511.66957380349413,0.48681610258810465,92.8,225.837744140625,362.63100000000003,0.6227756152690337,35.1,0.10295552534757198,-0.21831219679690847
20.0,0.5,248.8913314819336,511.63663497881896,0.486461121948856,92.5,225.837744140625,362.63100000000003,0.6227756152690337,35.1,0.10208031181428005,-0.2188821944502291
20.0,0.75,250.40047912597657,511.64295959430547,0.4894047195030796,92.3,225.837744140625,362.63100000000003,0.6227756152690337,35.1,0.10876275389138144,-0.21415561639859484
20.0,1.0,250.09414825439453,511.6578140161379,0.48879180851620196,92.3,225.837744140625,362.63100000000003,0.6227756152690337,35.1,0.10740633372013096,-0.21513977661914696
30.0,0.0,266.0613327026367,511.73036044981484,0.5199248535278751,86.1,225.837744140625,362.63100000000003,0.6227756152690337,35.1,0.178108352592139,-0.16514898660045954
30.0,0.25,269.567333984375,511.73277256032014,0.5267736374117019,83.9,225.837744140625,362.63100000000003,0.6227756152690337,35.1,0.1936327783035257,-0.15415179320381667
30.0,0.5,258.5348602294922,511.70151520823237,0.5052454459203306,88.2,225.837744140625,362.63100000000003,0.6227756152690337,35.1,0.14478145012158514,-0.188719928120389
30.0,0.75,265.3005599975586,511.67285513649676,0.5184964520480289,85.5,225.837744140625,362.63100000000003,0.6227756152690337,35.1,0.17473968316102564,-0.1674425919453464
30.0,1.0,263.955827331543,511.6943634097041,0.5158466580961699,86.2,225.837744140625,362.63100000000003,0.6227756152690337,35.1,0.16878526366780638,-0.17169740521499285
