Keyword,Region,Match type,Cost,Clicks,t_Clicks_ActCost
mit professional development,USA,Broad match,74.24,58,56.659374
generative ai course,USA,Broad match,6.48,6,3.5617657
generative ai courses,USA,Broad match,3.4799999999999995,3,0.65171885
online ai and ml courses,USA,Phrase match,34.2,19,17.186552
mit xpro ai,USA,Broad match,91.12,68,63.43605
mit artificial intelligence course,USA,Phrase match,19.44,9,7.09642
generative ai certificate course,USA,Broad match,5.79,3,1.4660745
generative ai fundamentals course,USA,Broad match,3.84,3,1.0593696
generative ai online course,USA,Broad match,6.09,3,1.6834761
generative ai online program,USA,Broad match,9.92,8,6.1952534
generative ai certificate program,USA,Broad match,1.22,1,-0.0020427704
generative ai foundations course,USA,Broad match,25.62,21,18.59901
mit generative ai certificate,USA,Broad match,4.68,4,2.0338972
online course generative ai,USA,Broad match,2.9,2,0.08480322
mit professional development,A,Broad match,3.57,3,1.8832935
generative ai course,A,Broad match,6.540000000000001,6,3.5617657
generative ai online course,A,Broad match,1.81,1,-0.118361115
online ai and ml courses,A,Phrase match,2.0,2,0.17784953
mit xpro ai,A,Broad match,5.2,4,1.5299208
generative ai fundamentals course,A,Broad match,1.64,2,0.087482095
generative ai online program,A,Broad match,5.67,7,4.5299106
generative ai certificate program,A,Broad match,0.38,1,0.0
generative ai foundations course,A,Broad match,10.8,8,5.627787
mit professional development,B,Broad match,0.09,1,0.0
generative ai online course,B,Broad match,1.5,3,0.46556354
mit xpro ai,B,Broad match,0.75,3,0.266042
generative ai online program,B,Broad match,0.5,2,0.0
mit generative ai certificate,B,Broad match,0.5,2,0.0
generative ai certification online,B,Broad match,0.74,2,0.08038533
online course generative ai,B,Broad match,10.85,31,28.03462
mit ai course,USA,Phrase match,7.65,5,3.0972266
stanford ai professional program,USA,Phrase match,1.13,1,-0.0020427704
