day,actual_cost,actual_revenue,actual_clicks,actual_profit
2025-12-01,355.41,3800.0,322.0,3444.59
2025-12-02,350.34000000000003,3400.0,292.0,3049.66
2025-12-03,359.4600000000001,3000.0,276.0,2640.54
2025-12-04,370.06000000000006,3200.0,308.0,2829.94
2025-12-05,326.77000000000004,3000.0,303.0,2673.23
2025-12-06,443.0,4398.13,309.0,3955.13
2025-12-07,355.98,2926.8,304.0,2570.82
2025-12-08,355.0,1600.0,310.0,1245.0
2025-12-09,362.77,4000.0,323.0,3637.23
2025-12-10,347.52,4600.0,285.0,4252.48
2025-12-11,227.73,2000.0,218.0,1772.27
2025-12-12,240.51999999999995,3800.0,242.0,3559.48
2025-12-13,450.57,2400.0,325.0,1949.43
2025-12-14,524.29,3600.0,353.0,3075.71
2025-12-15,381.4199999999999,1800.0,314.0,1418.5800000000002
2025-12-16,367.58000000000004,2200.0,310.0,1832.42
2025-12-17,335.03000000000003,3200.0,295.0,2864.97
2025-12-18,320.42999999999995,3800.0,266.0,3479.57
2025-12-19,255.50000000000003,2200.0,219.0,1944.5
2025-12-20,456.1700000000001,2800.0,351.0,2343.83
2025-12-21,340.28000000000003,5000.0,270.0,4659.72
2025-12-22,351.6900000000001,2800.0,297.0,2448.31
2025-12-23,323.91,3000.0,275.0,2676.09
2025-12-24,353.90999999999997,5200.0,294.0,4846.09
2025-12-25,351.03999999999996,1500.0,281.0,1148.96
2025-12-26,352.57000000000005,3100.0,295.0,2747.43
2025-12-27,332.59000000000003,2800.0,283.0,2467.41
2025-12-28,338.32,3800.0,309.0,3461.68
2025-12-29,329.52,3400.0,302.0,3070.48
2025-12-30,295.62999999999994,1400.0,276.0,1104.3700000000001
2025-12-31,233.60000000000002,3400.0,231.0,3166.4
